дышать	228	ладан	36	n	14	9.117582348980491	12.163498732282878
выражать	477	соболезнование	221	a	122	7.700846281121195	13.654612932288648
защитить	305	диссертация	241	a	62	7.244498500661917	12.73987718958611
потерпеть	275	фиаско	74	a	17	7.230578626164619	12.443606651475616
произвести	699	фурор	50	a	29	7.220833118932663	12.037802032712385
танцевать	316	лезгинка	42	a	11	7.219190406636685	12.137503523749935
тянуться	373	шлейф	61	n	10	7.161201379599179	11.122255750050998
улыбнуться	207	фортуна	88	n	8	7.160123866393318	10.532394449917003
нарисовать	224	веснушка	21	n	2	7.1133700976935765	9.5906090638623
регистрироваться	225	фирмы-однодневки	21	n	2	7.106943828534144	9.830074998557688
обвиняться	356	сеппянен	21	n	3	7.029954089505939	9.46602142799765
гласить	227	пословица	103	n	9	6.96991842949812	10.421732151852853
курить	267	кальян	49	n	5	6.959564761614541	10.427110331579419
бежать	767	мурашки	35	n	10	6.922604752969404	10.560376862442883
определиться	567	полуфиналист	29	n	6	6.892819023181296	10.030373649043518
голосовать	481	дурдом	23	n	4	6.879587402702886	9.840128663221611
разбирать	207	таец	27	n	2	6.864667982867147	9.714597781137751
прыгать	211	скакалка	22	a	3	6.860288652331926	10.752072486556415
гласить	227	мудрость	248	n	20	6.854225739739514	10.830074998557688
распространить	229	пресс-релиз	35	a	5	6.809298248800704	10.78276928377933
разворачиваться	255	хелена	23	n	2	6.79512704961407	9.445411148322362
пробить	257	бензобак	23	n	2	6.78385593727905	9.540568381362704
лечить	296	муковисцидоз	20	n	2	6.781660982013629	9.356143810225277
обвиняться	356	неоказание	25	n	3	6.778415322509974	9.425091163942767
побежать	342	мурашки	35	n	4	6.765906910699076	10.142019004872427
родить	321	двойня	26	a	5	6.7509158485792184	11.036525876025113
влечь	256	наложение	120	n	10	6.728079941808785	10.60768257722124
стартовать	716	ракета-носитель	26	n	6	6.713749447845748	9.89147554322183
дебютировать	222	бундеслиг	35	l	7	6.710477587446266	11.14914343930581
поздравлять	396	весь	60	g	17	6.6945988395520315	11.84905810192526
наложить	221	вето	118	a	15	6.692201945810497	11.367731784500487
наложить	221	отпечаток	147	a	18	6.638207056169768	11.421732151852853
садиться	355	шпагат	26	a	5	6.605670121309477	10.234465253637023
отпускать	310	шуточка	22	n	2	6.577486418618406	9.460841188891969
сообщать	1898	пресс-служба	1049	n	583	6.57533127613206	13.508751934101037
оформить	434	опекунство	35	a	8	6.565022709565806	10.660149997115376
советовать	631	сексолог	28	n	5	6.52611942037715	9.333243408115196
царить	312	запустение	34	n	3	6.525139883138509	9.59627781394899
передавать	1084	прайм-тасс	56	n	17	6.511001320368805	10.716775434443122
удостоиться	256	каневский	28	n	2	6.505687520472337	9.105182236692055
удивлять	326	поспешность	22	n	2	6.5048826696615665	8.933910809542228
ложиться	326	мгла	22	n	2	6.5048826696615665	9.245112497836532
наложить	221	гипс	90	a	10	6.498029398121508	11.01814734671026
гласить	227	изречение	27	a	3	6.459383470222025	10.518873310263384
стимулировать	318	клетчатка	47	n	4	6.4455706355679485	9.669083121885382
попасться	281	удочка	103	a	14	6.442285033608711	11.773931920520154
спеть	259	аб	29	n	2	6.438253159715814	9.205584133649893
биться	381	саркозь	20	n	2	6.417467160149257	9.069262662437113
придать	302	динамизм	21	a	3	6.410097297572569	10.125530882083858
тянуть	642	лямка	33	a	10	6.406961447361858	10.714597781137751
